participant_id,session_id,include_recommended,quality_flags,event_count_total,active_duration_min,session_duration_min,idle_gap_over_5min_count,longest_idle_gap_min,final_party_complete,post_task_survey_completed,final_filled_party_slots
Uriel_Septim_VII,Uriel_Septim_VII,True,,18881,58.121116666666666,96.93518333333331,0,2.4383166666666667,True,True,4
Yoloman,Yoloman,True,,5712,24.36488333333333,34.03901666666667,0,1.1655666666666666,True,True,4
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,True,,20022,70.51318333333333,115.20686666666668,0,4.509,True,True,4
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,True,,17844,104.81335,121.79735,0,2.563433333333333,True,True,4
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,True,,3099,22.387916666666666,29.29638333333333,0,3.413883333333333,True,True,4
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,True,,19216,137.52913333333333,203.55616666666663,4,8.382566666666667,True,True,4
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,True,,15025,49.367466666666665,82.21575,1,34.90488333333333,True,True,4
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,True,,8510,37.69253333333333,40.23505,0,1.065,True,True,4
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,True,,11630,38.8179,144.96433333333334,3,63.660516666666666,True,True,4
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,True,,11681,40.56478333333333,47.18261666666667,0,0.9541166666666666,True,True,4
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,True,,18817,102.46888333333334,123.52855,0,3.13405,True,True,4
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,True,,10485,48.98975,54.86195,0,0.98025,True,True,4
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,True,,8837,41.24026666666666,41.24026666666666,0,0.5949833333333333,True,True,4
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,True,,16473,63.71803333333333,75.47771666666667,0,4.089083333333333,True,True,4
participant-mq6h4za4-3dd8ed,participant-mq6h4za4-3dd8ed,True,,9073,47.7104,55.30315,0,1.560366666666667,True,True,4
participant-mq6wl4tc-aa847e,participant-mq6wl4tc-aa847e,True,,17830,114.46215,130.42823333333334,0,2.544566666666667,True,True,4
participant-mq70m2z5-437293,participant-mq70m2z5-437293,True,,7824,42.69721666666667,376.96305,3,303.4016,True,True,4
participant-mq748vre-54ccf6,participant-mq748vre-54ccf6,True,,11239,49.416466666666665,52.63151666666667,0,3.9433,True,True,4
participant-mq74r16t-8b9959,participant-mq74r16t-8b9959,True,,13222,52.74065,56.53648333333334,0,1.4693333333333334,True,True,4
participant-mq86r5q8-62d0e9,participant-mq86r5q8-62d0e9,True,,8662,35.17248333333333,49.43286666666667,0,1.3344166666666666,True,True,4
participant-mq89l4pr-50d828,participant-mq89l4pr-50d828,True,,8401,85.20928333333333,118.99398333333332,2,13.3229,True,True,4
participant-mq9rrhhc-33dea0,participant-mq9rrhhc-33dea0,True,,9251,39.6818,55.31243333333333,0,2.175566666666666,True,True,4
participant-mqb4fag6-6ad1d5,participant-mqb4fag6-6ad1d5,True,,23865,130.78951666666666,173.39861666666667,0,3.1373,True,True,4
participant-mqbpu17e-3a95f6,participant-mqbpu17e-3a95f6,True,,11161,46.4236,58.1704,0,2.6055,True,True,4
participant-mqbpu8zh-63581d,participant-mqbpu8zh-63581d,True,,12685,40.5114,47.55533333333333,0,1.8105666666666669,True,True,4
participant-mqbro0lo-88d5a7,participant-mqbro0lo-88d5a7,True,,11932,36.9806,50.96888333333333,0,2.4306,True,True,4
participant-mqbsmuwn-832271,participant-mqbsmuwn-832271,True,,5935,31.5647,42.6929,0,1.971666666666667,True,True,4
participant-mqbtnitc-2035a0,participant-mqbtnitc-2035a0,True,,9201,25.302816666666665,32.6493,0,2.6633166666666668,True,True,4
