group_variable,group,variable,n,missing,mean,sd,median,q1,q3,min,max,mean_ci_low_boot,mean_ci_high_boot,median_ci_low_boot,median_ci_high_boot
,,final_filled_party_slots,28,0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
,,final_party_gap_count,28,0,1.0714285714285714,0.262265264156481,1.0,1.0,1.0,1.0,2.0,1.0,1.1785714285714286,1.0,1.0
,,final_high_severity_gap_count,28,0,1.0714285714285714,0.262265264156481,1.0,1.0,1.0,1.0,2.0,1.0,1.1785714285714286,1.0,1.0
,,final_medium_severity_gap_count,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,final_redundancy_score,28,0,0.9358233746905079,0.05261790640697029,0.9470884658454648,0.9405854956753161,0.951553051126993,0.6785714285714286,0.968944099378882,0.9146964927615722,0.9493828825386379,0.9438184515355237,0.9491090852584689
,,final_selected_ability_count,28,0,115.46428571428571,33.03251164227185,116.0,105.75,132.25,19.0,189.0,103.57053571428571,126.75089285714286,111.5,124.0
,,final_damage_ability_count,28,0,48.214285714285715,17.302016887050723,46.5,37.75,57.5,5.0,82.0,41.856249999999996,54.39464285714287,43.0,55.0
,,final_utility_ability_count,28,0,67.25,20.631915226801556,66.0,57.25,76.5,14.0,107.0,60.142857142857146,74.82142857142857,60.5,73.5
,,final_healing_count,28,0,8.892857142857142,6.903242854250594,8.0,4.0,10.5,0.0,27.0,6.5,11.607142857142858,5.0,9.0
,,final_control_count,28,0,31.285714285714285,13.928008399962215,28.0,23.75,39.25,2.0,63.0,26.5,36.392857142857146,25.0,36.5
,,final_support_count,28,0,35.607142857142854,12.973874847994665,34.5,29.5,41.25,5.0,66.0,31.0,40.42857142857143,31.0,40.0
,,final_mobility_count,28,0,15.357142857142858,8.52974875108369,15.0,11.0,19.25,1.0,39.0,12.499107142857143,18.535714285714285,12.5,17.0
,,final_long_range_count,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,final_area_damage_count,28,0,11.678571428571429,7.165005344541035,10.0,6.0,17.25,0.0,25.0,9.107142857142858,14.321428571428571,7.0,17.0
,,final_single_target_damage_count,28,0,36.535714285714285,12.873982211787384,37.0,27.75,44.75,4.0,62.0,31.821428571428573,41.035714285714285,32.487500000000004,42.0
,,final_concentration_count,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,final_role_count,28,0,9.785714285714286,0.49867549436206365,10.0,10.0,10.0,8.0,10.0,9.607142857142858,9.928571428571429,10.0,10.0
,,final_damage_type_count,28,0,12.035714285714286,2.301080951416865,12.0,10.75,14.0,6.0,16.0,11.142857142857142,12.857142857142858,11.0,13.5
,,final_range_band_count,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,final_resource_count,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,final_unique_class_count,28,0,3.75,0.6454972243679028,4.0,4.0,4.0,1.0,4.0,3.5,3.9285714285714284,4.0,4.0
